Chinese City, 374x374
=====================

Python, (1 core, Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz) 

INFO:root:time=1s,real for 1s:0s,s/r:1.5089
INFO:root:time=2s,real for 1s:0s,s/r:1.5637
INFO:root:time=3s,real for 1s:0s,s/r:1.5581
INFO:root:time=4s,real for 1s:0s,s/r:1.5689
INFO:root:time=5s,real for 1s:0s,s/r:1.5297
INFO:root:time=6s,real for 1s:0s,s/r:1.5685
INFO:root:time=7s,real for 1s:0s,s/r:1.5392
INFO:root:time=8s,real for 1s:0s,s/r:1.5293
INFO:root:time=9s,real for 1s:0s,s/r:1.5365
INFO:root:time=10s,real for 1s:0s,s/r:1.5466
INFO:root:time=11s,real for 1s:0s,s/r:1.5468
INFO:root:time=12s,real for 1s:0s,s/r:1.5436
INFO:root:time=13s,real for 1s:0s,s/r:1.5214
INFO:root:time=14s,real for 1s:0s,s/r:1.5277
INFO:root:time=15s,real for 1s:0s,s/r:1.5641
INFO:root:time=16s,real for 1s:0s,s/r:1.5339
INFO:root:time=17s,real for 1s:0s,s/r:1.5486
INFO:root:time=18s,real for 1s:0s,s/r:1.5416
INFO:root:time=19s,real for 1s:0s,s/r:1.5552
INFO:root:time=20s,real for 1s:0s,s/r:1.5519
INFO:root:time=21s,real for 1s:0s,s/r:1.5514
INFO:root:time=22s,real for 1s:0s,s/r:1.5542
INFO:root:time=23s,real for 1s:0s,s/r:1.5486
INFO:root:time=24s,real for 1s:0s,s/r:1.5326
INFO:root:time=25s,real for 1s:0s,s/r:1.5435
INFO:root:time=26s,real for 1s:0s,s/r:1.5670
INFO:root:time=27s,real for 1s:0s,s/r:1.5447
INFO:root:time=28s,real for 1s:0s,s/r:1.5470
INFO:root:time=29s,real for 1s:0s,s/r:1.5268
INFO:root:time=30s,real for 1s:0s,s/r:1.5611
INFO:root:time=31s,real for 1s:0s,s/r:1.5312
INFO:root:time=32s,real for 1s:0s,s/r:1.5398
INFO:root:time=33s,real for 1s:0s,s/r:1.5426
INFO:root:time=34s,real for 1s:0s,s/r:1.5502
INFO:root:time=35s,real for 1s:0s,s/r:1.5502
INFO:root:time=36s,real for 1s:0s,s/r:1.4815
INFO:root:time=37s,real for 1s:0s,s/r:1.5405
INFO:root:time=38s,real for 1s:0s,s/r:1.5566
INFO:root:time=39s,real for 1s:0s,s/r:1.5473
INFO:root:time=40s,real for 1s:0s,s/r:1.5559
INFO:root:time=41s,real for 1s:0s,s/r:1.5428
INFO:root:time=42s,real for 1s:0s,s/r:1.5306
INFO:root:time=43s,real for 1s:0s,s/r:1.5431
INFO:root:time=44s,real for 1s:0s,s/r:1.5535
INFO:root:time=45s,real for 1s:0s,s/r:1.4170
INFO:root:time=46s,real for 1s:0s,s/r:1.5608
INFO:root:time=47s,real for 1s:0s,s/r:1.5485
INFO:root:time=48s,real for 1s:0s,s/r:1.5213
INFO:root:time=49s,real for 1s:0s,s/r:1.5383
INFO:root:time=50s,real for 1s:0s,s/r:1.5604

Java, (1 core, Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz) 
time=1s,real for 1s:0,0620s,s/r:16,1290
time=2s,real for 1s:0,0500s,s/r:20,0000
