 100861447 function calls (100861288 primitive calls) in 187.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     18/1    0.000    0.000  187.682  187.682 {built-in method builtins.exec}
        1    0.000    0.000  187.682  187.682 nqsim.py:1(<module>)
        1   12.596   12.596  186.506  186.506 chinese_capital.py:53(add_agents)
  1002484   34.071    0.000  129.313    0.000 chinese_capital.py:64(make_plan)
 11383449   30.314    0.000  104.964    0.000 random.py:250(choice)
 11383449   38.999    0.000   65.410    0.000 random.py:220(_randbelow)
 21160826   17.414    0.000   17.414    0.000 {method 'getrandbits' of '_random.Random' objects}
14420005/14419996   11.740    0.000   11.740    0.000 {built-in method builtins.len}
 13332649   10.973    0.000   10.973    0.000 {method 'append' of 'list' objects}
 11383449    8.996    0.000    8.996    0.000 {method 'bit_length' of 'int' objects}
  6668107    7.471    0.000    7.471    0.000 chinese_capital.py:59(next_vertical)
  6661213    7.470    0.000    7.470    0.000 chinese_capital.py:54(next_horicontal)
  1000049    3.523    0.000    5.162    0.000 link.py:59(add)
  1000000    2.155    0.000    2.155    0.000 agent.py:4(__init__)
       10    0.009    0.001    0.921    0.092 world.py:16(tick)
  1000120    0.805    0.000    0.805    0.000 {method 'popleft' of 'collections.deque' objects}
     4000    0.021    0.000    0.691    0.000 node.py:28(tick)
    15200    0.412    0.000    0.670    0.000 link.py:80(tick)
   303805    0.259    0.000    0.259    0.000 agent.py:23(tick)
     4000    0.080    0.000    0.215    0.000 node.py:32(route)
        1    0.005    0.005    0.187    0.187 nqsim.py:6(write_snapshot)
        2    0.000    0.000    0.168    0.084 {built-in method builtins.repr}
        1    0.015    0.015    0.168    0.168 world.py:12(__repr__)
      400    0.003    0.000    0.152    0.000 node.py:15(__repr__)
     1520    0.040    0.000    0.148    0.000 link.py:30(__repr__)
    30378    0.109    0.000    0.109    0.000 agent.py:11(__repr__)
    15004    0.043    0.000    0.066    0.000 link.py:45(is_accepting)
    15342    0.030    0.000    0.042    0.000 link.py:53(peak)
        1    0.003    0.003    0.041    0.041 chinese_capital.py:12(__init__)
    30449    0.027    0.000    0.027    0.000 {method 'append' of 'collections.deque' objects}
     21/6    0.000    0.000    0.025    0.004 <frozen importlib._bootstrap>:966(_find_and_load)
     21/6    0.000    0.000    0.025    0.004 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
     21/6    0.000    0.000    0.023    0.004 <frozen importlib._bootstrap>:659(_load_unlocked)
     16/6    0.000    0.000    0.022    0.004 <frozen importlib._bootstrap_external>:659(exec_module)
     26/6    0.000    0.000    0.020    0.003 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
        2    0.000    0.000    0.014    0.007 chinese_capital.py:13(get_link_board_horicontal)
        2    0.000    0.000    0.014    0.007 chinese_capital.py:14(<listcomp>)
       40    0.002    0.000    0.014    0.000 chinese_capital.py:15(<listcomp>)
        1    0.000    0.000    0.013    0.013 __init__.py:24(<module>)
    15058    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.013    0.006 chinese_capital.py:19(get_link_board_vertical)
        2    0.000    0.000    0.013    0.006 chinese_capital.py:20(<listcomp>)
       38    0.002    0.000    0.013    0.000 chinese_capital.py:21(<listcomp>)
    15004    0.012    0.000    0.012    0.000 link.py:42(__bool__)
       25    0.012    0.000    0.012    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1520    0.007    0.000    0.009    0.000 link.py:8(__init__)
        1    0.006    0.006    0.007    0.007 {built-in method io.open}
       12    0.000    0.000    0.007    0.001 __init__.py:1830(info)
       12    0.000    0.000    0.007    0.001 __init__.py:1269(info)
       12    0.000    0.000    0.007    0.001 __init__.py:1392(_log)
       21    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:879(_find_spec)
        1    0.000    0.000    0.005    0.005 traceback.py:1(<module>)
       12    0.000    0.000    0.005    0.000 __init__.py:1417(handle)
       12    0.000    0.000    0.005    0.000 __init__.py:1471(callHandlers)
       16    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:729(get_code)
        3    0.000    0.000    0.005    0.002 re.py:222(compile)
        3    0.000    0.000    0.005    0.002 re.py:278(_compile)
       17    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
       12    0.000    0.000    0.005    0.000 __init__.py:842(handle)
        3    0.000    0.000    0.005    0.002 sre_compile.py:531(compile)
       17    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
       12    0.000    0.000    0.005    0.000 __init__.py:968(emit)
       41    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
        1    0.000    0.000    0.005    0.005 random.py:37(<module>)
       50    0.001    0.000    0.005    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.005    0.005 linecache.py:6(<module>)
     1520    0.003    0.000    0.004    0.000 node.py:24(add_outgoing_link)
        1    0.000    0.000    0.004    0.004 string.py:15(<module>)
     1520    0.003    0.000    0.004    0.000 node.py:21(add_incoming_link)
       21    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
        1    0.000    0.000    0.004    0.004 string.py:65(__init__)
        1    0.000    0.000    0.004    0.004 tokenize.py:21(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:53(<module>)
        4    0.002    0.001    0.003    0.001 {built-in method builtins.sum}
        1    0.000    0.000    0.003    0.003 chinese_capital.py:25(<listcomp>)
        3    0.000    0.000    0.003    0.001 sre_compile.py:516(_code)
        3    0.000    0.000    0.003    0.001 sre_parse.py:819(parse)
     23/3    0.000    0.000    0.002    0.001 sre_compile.py:64(_compile)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:903(create_module)
        1    0.002    0.002    0.002    0.002 {built-in method _imp.create_dynamic}
     10/3    0.000    0.000    0.002    0.001 sre_parse.py:429(_parse_sub)
     14/3    0.001    0.000    0.002    0.001 sre_parse.py:491(_parse)
       16    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:816(get_data)
      400    0.001    0.000    0.002    0.000 node.py:7(__init__)
        1    0.000    0.000    0.002    0.002 world.py:4(__init__)
        1    0.000    0.000    0.002    0.002 chinese_capital.py:1(<module>)
      218    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
       10    0.000    0.000    0.002    0.000 sre_compile.py:221(_compile_charset)
       10    0.001    0.000    0.002    0.000 sre_compile.py:248(_optimize_charset)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
     1526    0.002    0.000    0.002    0.000 {built-in method builtins.max}
       16    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       78    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
       78    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      400    0.001    0.000    0.001    0.000 node.py:10(<dictcomp>)
        1    0.000    0.000    0.001    0.001 world.py:13(<dictcomp>)
      218    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
       12    0.000    0.000    0.001    0.000 __init__.py:1377(makeRecord)
       12    0.000    0.000    0.001    0.000 __init__.py:243(__init__)
      302    0.001    0.000    0.001    0.000 sre_parse.py:247(get)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
       71    0.000    0.000    0.001    0.000 __init__.py:1840(debug)
